"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Delete file","LMS service","Thu Jun 05 16:57:19 GMT 2025","passed","Thu Jun 05 16:57:19 GMT 2025","Delete entity","Files","",""
"","29","Create course","LMS service","Thu Jun 05 16:57:12 GMT 2025","passed","Thu Jun 05 16:57:12 GMT 2025","Create entity","Courses","",""
"","293","Update exercise","LMS service","Thu Jun 05 16:57:14 GMT 2025","passed","Thu Jun 05 16:57:15 GMT 2025","Update entity","Exercises","",""
"","265","Create file","LMS service","Thu Jun 05 16:57:16 GMT 2025","passed","Thu Jun 05 16:57:17 GMT 2025","Create entity","Files","",""
"","15","Get user me","LMS service","Thu Jun 05 16:57:21 GMT 2025","passed","Thu Jun 05 16:57:21 GMT 2025","Get entity","Users","",""
"","19","Get exercise","LMS service","Thu Jun 05 16:57:15 GMT 2025","passed","Thu Jun 05 16:57:15 GMT 2025","Get entity","Exercises","",""
"","293","Delete exercise","LMS service","Thu Jun 05 16:57:16 GMT 2025","passed","Thu Jun 05 16:57:16 GMT 2025","Delete entity","Exercises","",""
"","549","Create user","LMS service","Thu Jun 05 16:57:20 GMT 2025","passed","Thu Jun 05 16:57:20 GMT 2025","Create entity","Users","",""
"","287","Login with correct email and password","LMS service","Thu Jun 05 16:57:11 GMT 2025","passed","Thu Jun 05 16:57:11 GMT 2025","Login","Authentication","",""
"","266","Create file with empty directory","LMS service","Thu Jun 05 16:57:18 GMT 2025","passed","Thu Jun 05 16:57:18 GMT 2025","Validate entity","Files","",""
"","32","Get course","LMS service","Thu Jun 05 16:57:12 GMT 2025","passed","Thu Jun 05 16:57:12 GMT 2025","Get entities","Courses","",""
"","298","Create exercise","LMS service","Thu Jun 05 16:57:13 GMT 2025","passed","Thu Jun 05 16:57:14 GMT 2025","Create entity","Exercises","",""
"","18","Get exercises","LMS service","Thu Jun 05 16:57:16 GMT 2025","passed","Thu Jun 05 16:57:16 GMT 2025","Get entities","Exercises","",""
"","536","Create user","LMS service","Thu Jun 05 16:57:19 GMT 2025","passed","Thu Jun 05 16:57:20 GMT 2025","Create entity","Users","",""
"","290","Create user","LMS service","Thu Jun 05 16:57:20 GMT 2025","passed","Thu Jun 05 16:57:20 GMT 2025","Create entity","Users","",""
"","17","Get file with incorrect file id","LMS service","Thu Jun 05 16:57:20 GMT 2025","passed","Thu Jun 05 16:57:20 GMT 2025","Validate entity","Files","",""
"","14","Get file","LMS service","Thu Jun 05 16:57:17 GMT 2025","passed","Thu Jun 05 16:57:17 GMT 2025","Get entity","Files","",""
"","261","Create file with empty filename","LMS service","Thu Jun 05 16:57:18 GMT 2025","passed","Thu Jun 05 16:57:18 GMT 2025","Validate entity","Files","",""
"","300","Update course","LMS service","Thu Jun 05 16:57:13 GMT 2025","passed","Thu Jun 05 16:57:13 GMT 2025","Update entity","Courses","",""
