"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Delete exercise","LMS service","Tue Jun 03 15:58:21 GMT 2025","passed","Tue Jun 03 15:58:21 GMT 2025","Delete entity","Exercises","",""
"","35","Create course","LMS service","Tue Jun 03 15:58:19 GMT 2025","passed","Tue Jun 03 15:58:19 GMT 2025","Create entity","Courses","",""
"","20","Create file","LMS service","Tue Jun 03 15:58:22 GMT 2025","passed","Tue Jun 03 15:58:22 GMT 2025","Create entity","Files","",""
"","31","Get course","LMS service","Tue Jun 03 15:58:17 GMT 2025","passed","Tue Jun 03 15:58:17 GMT 2025","Get entities","Courses","",""
"","548","Create user","LMS service","Tue Jun 03 15:58:25 GMT 2025","passed","Tue Jun 03 15:58:25 GMT 2025","Create entity","Users","",""
"","21","Update exercise","LMS service","Tue Jun 03 15:58:20 GMT 2025","passed","Tue Jun 03 15:58:20 GMT 2025","Update entity","Exercises","",""
"","552","Login with correct email and password","LMS service","Tue Jun 03 15:58:17 GMT 2025","passed","Tue Jun 03 15:58:17 GMT 2025","Login","Authentication","",""
"","261","Create file with empty directory","LMS service","Tue Jun 03 15:58:24 GMT 2025","passed","Tue Jun 03 15:58:24 GMT 2025","Validate entity","Files","",""
"","14","Get file","LMS service","Tue Jun 03 15:58:23 GMT 2025","passed","Tue Jun 03 15:58:23 GMT 2025","Get entity","Files","",""
"","293","Get exercises","LMS service","Tue Jun 03 15:58:22 GMT 2025","passed","Tue Jun 03 15:58:22 GMT 2025","Get entities","Exercises","",""
"","296","Delete file","LMS service","Tue Jun 03 15:58:24 GMT 2025","passed","Tue Jun 03 15:58:25 GMT 2025","Delete entity","Files","",""
"","16","Get file with incorrect file id","LMS service","Tue Jun 03 15:58:25 GMT 2025","passed","Tue Jun 03 15:58:25 GMT 2025","Validate entity","Files","",""
"","12","Get user me","LMS service","Tue Jun 03 15:58:27 GMT 2025","passed","Tue Jun 03 15:58:27 GMT 2025","Get entity","Users","",""
"","37","Update course","LMS service","Tue Jun 03 15:58:19 GMT 2025","passed","Tue Jun 03 15:58:19 GMT 2025","Update entity","Courses","",""
"","291","Create user","LMS service","Tue Jun 03 15:58:25 GMT 2025","passed","Tue Jun 03 15:58:26 GMT 2025","Create entity","Users","",""
"","543","Create user","LMS service","Tue Jun 03 15:58:25 GMT 2025","passed","Tue Jun 03 15:58:26 GMT 2025","Create entity","Users","",""
"","25","Create exercise","LMS service","Tue Jun 03 15:58:20 GMT 2025","passed","Tue Jun 03 15:58:20 GMT 2025","Create entity","Exercises","",""
"","21","Get exercise","LMS service","Tue Jun 03 15:58:21 GMT 2025","passed","Tue Jun 03 15:58:21 GMT 2025","Get entity","Exercises","",""
"","16","Create file with empty filename","LMS service","Tue Jun 03 15:58:23 GMT 2025","passed","Tue Jun 03 15:58:23 GMT 2025","Validate entity","Files","",""
