"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30","Get course","LMS service","Tue Jun 03 15:25:44 GMT 2025","passed","Tue Jun 03 15:25:44 GMT 2025","Get entities","Courses","",""
"","15","Create file with empty filename","LMS service","Tue Jun 03 15:25:50 GMT 2025","passed","Tue Jun 03 15:25:50 GMT 2025","Validate entity","Files","",""
"","21","Get exercise","LMS service","Tue Jun 03 15:25:48 GMT 2025","passed","Tue Jun 03 15:25:48 GMT 2025","Get entity","Exercises","",""
"","295","Get exercises","LMS service","Tue Jun 03 15:25:48 GMT 2025","passed","Tue Jun 03 15:25:49 GMT 2025","Get entities","Exercises","",""
"","552","Login with correct email and password","LMS service","Tue Jun 03 15:25:43 GMT 2025","passed","Tue Jun 03 15:25:44 GMT 2025","Login","Authentication","",""
"","27","Create exercise","LMS service","Tue Jun 03 15:25:46 GMT 2025","passed","Tue Jun 03 15:25:46 GMT 2025","Create entity","Exercises","",""
"","262","Create file with empty directory","LMS service","Tue Jun 03 15:25:51 GMT 2025","passed","Tue Jun 03 15:25:51 GMT 2025","Validate entity","Files","",""
"","18","Create file","LMS service","Tue Jun 03 15:25:49 GMT 2025","passed","Tue Jun 03 15:25:49 GMT 2025","Create entity","Files","",""
"","21","Delete exercise","LMS service","Tue Jun 03 15:25:48 GMT 2025","passed","Tue Jun 03 15:25:48 GMT 2025","Delete entity","Exercises","",""
"","550","Create user","LMS service","Tue Jun 03 15:25:51 GMT 2025","passed","Tue Jun 03 15:25:52 GMT 2025","Create entity","Users","",""
"","552","Create user","LMS service","Tue Jun 03 15:25:52 GMT 2025","passed","Tue Jun 03 15:25:53 GMT 2025","Create entity","Users","",""
"","21","Update exercise","LMS service","Tue Jun 03 15:25:46 GMT 2025","passed","Tue Jun 03 15:25:46 GMT 2025","Update entity","Exercises","",""
"","291","Create user","LMS service","Tue Jun 03 15:25:52 GMT 2025","passed","Tue Jun 03 15:25:52 GMT 2025","Create entity","Users","",""
"","15","Get user me","LMS service","Tue Jun 03 15:25:53 GMT 2025","passed","Tue Jun 03 15:25:53 GMT 2025","Get entity","Users","",""
"","30","Update course","LMS service","Tue Jun 03 15:25:45 GMT 2025","passed","Tue Jun 03 15:25:45 GMT 2025","Update entity","Courses","",""
"","14","Get file","LMS service","Tue Jun 03 15:25:50 GMT 2025","passed","Tue Jun 03 15:25:50 GMT 2025","Get entity","Files","",""
"","16","Get file with incorrect file id","LMS service","Tue Jun 03 15:25:52 GMT 2025","passed","Tue Jun 03 15:25:52 GMT 2025","Validate entity","Files","",""
"","294","Delete file","LMS service","Tue Jun 03 15:25:51 GMT 2025","passed","Tue Jun 03 15:25:51 GMT 2025","Delete entity","Files","",""
"","30","Create course","LMS service","Tue Jun 03 15:25:45 GMT 2025","passed","Tue Jun 03 15:25:45 GMT 2025","Create entity","Courses","",""
