"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28","Get course","LMS service","Tue Jun 03 15:52:32 GMT 2025","passed","Tue Jun 03 15:52:32 GMT 2025","Get entities","Courses","",""
"","290","Delete exercise","LMS service","Tue Jun 03 15:52:36 GMT 2025","passed","Tue Jun 03 15:52:36 GMT 2025","Delete entity","Exercises","",""
"","15","Get exercise","LMS service","Tue Jun 03 15:52:35 GMT 2025","passed","Tue Jun 03 15:52:35 GMT 2025","Get entity","Exercises","",""
"","293","Create user","LMS service","Tue Jun 03 15:52:40 GMT 2025","passed","Tue Jun 03 15:52:40 GMT 2025","Create entity","Users","",""
"","38","Update course","LMS service","Tue Jun 03 15:52:33 GMT 2025","passed","Tue Jun 03 15:52:33 GMT 2025","Update entity","Courses","",""
"","24","Delete file","LMS service","Tue Jun 03 15:52:39 GMT 2025","passed","Tue Jun 03 15:52:39 GMT 2025","Delete entity","Files","",""
"","13","Get user me","LMS service","Tue Jun 03 15:52:41 GMT 2025","passed","Tue Jun 03 15:52:41 GMT 2025","Get entity","Users","",""
"","551","Login with correct email and password","LMS service","Tue Jun 03 15:52:31 GMT 2025","passed","Tue Jun 03 15:52:32 GMT 2025","Login","Authentication","",""
"","27","Create course","LMS service","Tue Jun 03 15:52:32 GMT 2025","passed","Tue Jun 03 15:52:32 GMT 2025","Create entity","Courses","",""
"","18","Get exercises","LMS service","Tue Jun 03 15:52:36 GMT 2025","passed","Tue Jun 03 15:52:36 GMT 2025","Get entities","Exercises","",""
"","16","Get file with incorrect file id","LMS service","Tue Jun 03 15:52:40 GMT 2025","passed","Tue Jun 03 15:52:40 GMT 2025","Validate entity","Files","",""
"","22","Create exercise","LMS service","Tue Jun 03 15:52:34 GMT 2025","passed","Tue Jun 03 15:52:34 GMT 2025","Create entity","Exercises","",""
"","290","Update exercise","LMS service","Tue Jun 03 15:52:34 GMT 2025","passed","Tue Jun 03 15:52:35 GMT 2025","Update entity","Exercises","",""
"","549","Create user","LMS service","Tue Jun 03 15:52:40 GMT 2025","passed","Tue Jun 03 15:52:40 GMT 2025","Create entity","Users","",""
"","265","Create file with empty directory","LMS service","Tue Jun 03 15:52:38 GMT 2025","passed","Tue Jun 03 15:52:38 GMT 2025","Validate entity","Files","",""
"","250","Create file with empty filename","LMS service","Tue Jun 03 15:52:38 GMT 2025","passed","Tue Jun 03 15:52:38 GMT 2025","Validate entity","Files","",""
"","532","Create user","LMS service","Tue Jun 03 15:52:39 GMT 2025","passed","Tue Jun 03 15:52:40 GMT 2025","Create entity","Users","",""
"","16","Get file","LMS service","Tue Jun 03 15:52:37 GMT 2025","passed","Tue Jun 03 15:52:37 GMT 2025","Get entity","Files","",""
"","262","Create file","LMS service","Tue Jun 03 15:52:36 GMT 2025","passed","Tue Jun 03 15:52:37 GMT 2025","Create entity","Files","",""
