"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","Get exercises","LMS service","Thu Jun 05 16:54:54 GMT 2025","passed","Thu Jun 05 16:54:54 GMT 2025","Get entities","Exercises","",""
"","290","Create user","LMS service","Thu Jun 05 16:54:57 GMT 2025","passed","Thu Jun 05 16:54:58 GMT 2025","Create entity","Users","",""
"","270","Create file","LMS service","Thu Jun 05 16:54:54 GMT 2025","passed","Thu Jun 05 16:54:54 GMT 2025","Create entity","Files","",""
"","29","Create course","LMS service","Thu Jun 05 16:54:50 GMT 2025","passed","Thu Jun 05 16:54:50 GMT 2025","Create entity","Courses","",""
"","290","Delete exercise","LMS service","Thu Jun 05 16:54:53 GMT 2025","passed","Thu Jun 05 16:54:53 GMT 2025","Delete entity","Exercises","",""
"","30","Get course","LMS service","Thu Jun 05 16:54:50 GMT 2025","passed","Thu Jun 05 16:54:50 GMT 2025","Get entities","Courses","",""
"","553","Create user","LMS service","Thu Jun 05 16:54:57 GMT 2025","passed","Thu Jun 05 16:54:58 GMT 2025","Create entity","Users","",""
"","264","Create file with empty directory","LMS service","Thu Jun 05 16:54:56 GMT 2025","passed","Thu Jun 05 16:54:56 GMT 2025","Validate entity","Files","",""
"","536","Create user","LMS service","Thu Jun 05 16:54:57 GMT 2025","passed","Thu Jun 05 16:54:57 GMT 2025","Create entity","Users","",""
"","24","Create exercise","LMS service","Thu Jun 05 16:54:51 GMT 2025","passed","Thu Jun 05 16:54:51 GMT 2025","Create entity","Exercises","",""
"","285","Login with correct email and password","LMS service","Thu Jun 05 16:54:49 GMT 2025","passed","Thu Jun 05 16:54:49 GMT 2025","Login","Authentication","",""
"","12","Get user me","LMS service","Thu Jun 05 16:54:58 GMT 2025","passed","Thu Jun 05 16:54:58 GMT 2025","Get entity","Users","",""
"","34","Update course","LMS service","Thu Jun 05 16:54:51 GMT 2025","passed","Thu Jun 05 16:54:51 GMT 2025","Update entity","Courses","",""
"","263","Create file with empty filename","LMS service","Thu Jun 05 16:54:55 GMT 2025","passed","Thu Jun 05 16:54:55 GMT 2025","Validate entity","Files","",""
"","294","Update exercise","LMS service","Thu Jun 05 16:54:52 GMT 2025","passed","Thu Jun 05 16:54:52 GMT 2025","Update entity","Exercises","",""
"","19","Get file with incorrect file id","LMS service","Thu Jun 05 16:54:57 GMT 2025","passed","Thu Jun 05 16:54:57 GMT 2025","Validate entity","Files","",""
"","19","Get exercise","LMS service","Thu Jun 05 16:54:52 GMT 2025","passed","Thu Jun 05 16:54:52 GMT 2025","Get entity","Exercises","",""
"","21","Delete file","LMS service","Thu Jun 05 16:54:57 GMT 2025","passed","Thu Jun 05 16:54:57 GMT 2025","Delete entity","Files","",""
"","13","Get file","LMS service","Thu Jun 05 16:54:55 GMT 2025","passed","Thu Jun 05 16:54:55 GMT 2025","Get entity","Files","",""
