"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","528","Create user","LMS service","Tue Jun 03 16:00:22 GMT 2025","passed","Tue Jun 03 16:00:23 GMT 2025","Create entity","Users","",""
"","18","Get file with incorrect file id","LMS service","Tue Jun 03 16:00:23 GMT 2025","passed","Tue Jun 03 16:00:23 GMT 2025","Validate entity","Files","",""
"","265","Create file with empty directory","LMS service","Tue Jun 03 16:00:21 GMT 2025","passed","Tue Jun 03 16:00:22 GMT 2025","Validate entity","Files","",""
"","553","Login with correct email and password","LMS service","Tue Jun 03 16:00:14 GMT 2025","passed","Tue Jun 03 16:00:15 GMT 2025","Login","Authentication","",""
"","16","Get file","LMS service","Tue Jun 03 16:00:21 GMT 2025","passed","Tue Jun 03 16:00:21 GMT 2025","Get entity","Files","",""
"","23","Delete file","LMS service","Tue Jun 03 16:00:22 GMT 2025","passed","Tue Jun 03 16:00:22 GMT 2025","Delete entity","Files","",""
"","17","Create file","LMS service","Tue Jun 03 16:00:19 GMT 2025","passed","Tue Jun 03 16:00:19 GMT 2025","Create entity","Files","",""
"","530","Create user","LMS service","Tue Jun 03 16:00:22 GMT 2025","passed","Tue Jun 03 16:00:22 GMT 2025","Create entity","Users","",""
"","290","Get exercises","LMS service","Tue Jun 03 16:00:19 GMT 2025","passed","Tue Jun 03 16:00:19 GMT 2025","Get entities","Exercises","",""
"","23","Update exercise","LMS service","Tue Jun 03 16:00:17 GMT 2025","passed","Tue Jun 03 16:00:17 GMT 2025","Update entity","Exercises","",""
"","551","Create user","LMS service","Tue Jun 03 16:00:23 GMT 2025","passed","Tue Jun 03 16:00:24 GMT 2025","Create entity","Users","",""
"","16","Create file with empty filename","LMS service","Tue Jun 03 16:00:21 GMT 2025","passed","Tue Jun 03 16:00:21 GMT 2025","Validate entity","Files","",""
"","28","Get course","LMS service","Tue Jun 03 16:00:15 GMT 2025","passed","Tue Jun 03 16:00:15 GMT 2025","Get entities","Courses","",""
"","22","Delete exercise","LMS service","Tue Jun 03 16:00:19 GMT 2025","passed","Tue Jun 03 16:00:19 GMT 2025","Delete entity","Exercises","",""
"","12","Get user me","LMS service","Tue Jun 03 16:00:24 GMT 2025","passed","Tue Jun 03 16:00:24 GMT 2025","Get entity","Users","",""
"","33","Update course","LMS service","Tue Jun 03 16:00:16 GMT 2025","passed","Tue Jun 03 16:00:16 GMT 2025","Update entity","Courses","",""
"","24","Create exercise","LMS service","Tue Jun 03 16:00:17 GMT 2025","passed","Tue Jun 03 16:00:17 GMT 2025","Create entity","Exercises","",""
"","29","Create course","LMS service","Tue Jun 03 16:00:16 GMT 2025","passed","Tue Jun 03 16:00:16 GMT 2025","Create entity","Courses","",""
"","20","Get exercise","LMS service","Tue Jun 03 16:00:18 GMT 2025","passed","Tue Jun 03 16:00:18 GMT 2025","Get entity","Exercises","",""
